OrderID,OrderDate,OrderQuantity,Sales,Discount,Profit,UnitPrice,ShippingCost,CustomerSegment,ProductBaseMargin,ShipDate,OrderUrgent,Shipping,Cusme,Province,Region,ProCategory,ProSubCate,ProPacking,Customer_ID,ProductID
3,9/17/2015,6,261.54,0.04,-213.25,38.94,35,Small Business,0.8,9/24/2015,Slow,Train,554,Bangkok,Bangkok,Office,PowerSupply,Box,C554 ,P406 
293,9/5/2017,49,10123.02,0.07,457.81,208.16,68.02,Consumer,0.58,9/6/2017,Fast,Truck,69,Bangkok,Bangkok,Office,Equipment,BigPack,C069 ,P012 
293,9/5/2017,27,244.57,0.01,46.71,8.69,2.99,Consumer,0.39,9/7/2017,Fast,Train,69,Bangkok,Bangkok,Office,Binder,SmallBox,C069 ,P329 
483,6/13/2016,30,4965.7595,0.08,1198.97,195.99,3.99,Corporate,0.58,6/15/2016,Fast,Train,173,Bangkok,Bangkok,IT,Communication,SmallBox,C173 ,P882 
515,8/2/2015,19,394.27,0.08,30.94,21.78,5.94,Consumer,0.5,8/4/2015,NotSpecified,Train,131,Bangkok,Bangkok,Office,Equipment,MediumPack,C131 ,P596 
515,8/2/2015,21,146.69,0.05,4.43,6.64,4.95,Consumer,0.37,8/4/2015,NotSpecified,Train,131,Bangkok,Bangkok,Home,Furniture,SmallPack,C131 ,P513 
613,5/21/2016,12,93.54,0.03,-54.04,7.3,7.72,Corporate,0.38,5/21/2016,Fast,Train,126,Bangkok,Bangkok,Office,Binder,SmallBox,C126 ,P161 
613,5/21/2016,22,905.08,0.09,127.7,42.76,6.22,Corporate,,5/22/2016,Fast,Train,126,Bangkok,Bangkok,Office,PowerSupply,SmallBox,C126 ,P909 
643,2/26/2016,21,2781.82,0.07,-695.26,138.14,35,Corporate,,2/27/2016,Fast,Air,552,Bangkok,Bangkok,Office,PowerSupply,Box,C552 ,P907 
678,1/31/2015,44,228.41,0.07,-226.36,4.98,8.33,Home Office,0.38,1/31/2015,Slow,Train,238,Bangkok,Bangkok,Office,Paper,SmallBox,C238 ,P1205 
807,10/28/2015,45,196.85,0.01,-166.85,4.28,6.18,Home Office,0.4,10/29/2015,Medium,Train,569,Bangkok,Bangkok,Office,Paper,SmallBox,C569 ,P1206 
807,10/28/2015,32,124.56,0.04,-14.33,3.95,2,Home Office,0.53,10/29/2015,Medium,Train,569,Bangkok,Bangkok,Office,RubberPro,Bag,C569 ,P146 
868,5/13/2017,32,716.84,0,134.72,21.78,5.94,Home Office,0.5,5/14/2017,NotSpecified,Train,129,Bangkok,Bangkok,Office,Equipment,MediumPack,C129 ,P596 
868,5/13/2017,31,1474.33,0.04,114.46,47.98,3.61,Home Office,0.71,5/15/2017,NotSpecified,Train,129,Bangkok,Bangkok,IT,Computer Accessories,SmallPack,C129 ,P373 
933,7/9/2017,15,80.61,0.02,-4.72,5.28,2.99,Small Business,0.37,7/9/2017,NotSpecified,Train,170,Bangkok,Bangkok,Office,Binder,SmallBox,C170 ,P1105 
995,5/3/2016,46,1815.49,0.03,782.91,39.89,3.04,Home Office,0.53,5/4/2016,Medium,Train,569,Bangkok,Bangkok,Home,Furniture,Bag,C569 ,P1076 
998,10/30/2014,16,248.26,0.07,93.8,15.74,1.39,Small Business,0.4,10/31/2014,NotSpecified,Train,27,Bangkok,Bangkok,Office,Envelopes,SmallBox,C027 ,P006 
1154,1/18/2017,44,4462.23,0.04,440.72,100.98,26.22,Home Office,0.6,1/20/2017,SuperFast,Truck,733,Bangkok,Bangkok,Home,Case,SuperBig,C733 ,P605 
1154,1/18/2017,11,663.784,0.25,-481.04,71.37,69,Home Office,0.68,1/20/2017,SuperFast,Train,733,Bangkok,Bangkok,Home,Table,Box,C733 ,P708 
1344,3/20/2017,15,834.904,0.06,-11.68,65.99,5.26,Corporate,0.59,3/27/2017,Slow,Train,381,Bangkok,Bangkok,IT,Communication,SmallBox,C381 ,P1253 
1344,3/20/2017,18,2480.9205,0.01,313.58,155.99,8.99,Corporate,0.58,3/24/2017,Slow,Train,381,Bangkok,Bangkok,IT,Communication,SmallBox,C381 ,P703 
1412,2/14/2015,13,59.03,0.1,26.92,3.69,0.5,Consumer,0.38,2/16/2015,NotSpecified,Air,131,Bangkok,Bangkok,Office,Poster,SmallBox,C131 ,P202 
1412,2/14/2015,21,97.48,0.05,-5.77,4.71,0.7,Consumer,0.8,2/16/2015,NotSpecified,Train,131,Bangkok,Bangkok,Office,RubberPro,Bag,C131 ,P856 
1539,2/11/2016,33,511.83,0.1,-172.88,15.99,13.18,Corporate,0.37,2/13/2016,Slow,Train,127,Bangkok,Bangkok,Office,Binder,SmallBox,C127 ,P529 
1539,2/11/2016,38,184.99,0.05,-144.55,4.89,4.93,Corporate,0.66,2/16/2016,Slow,Train,127,Bangkok,Bangkok,IT,Computer Accessories,SmallPack,C127 ,P742 
1540,7/9/2017,30,80.9,0.09,5.76,2.88,0.7,Home Office,0.56,7/11/2017,Fast,Train,236,Bangkok,Bangkok,Office,Supplies,Bag,C236 ,P790 
1702,4/9/2016,23,67.24,0.06,4.9,2.84,0.93,Home Office,0.54,4/10/2016,Fast,Train,49,Bangkok,Bangkok,Office,Supplies,Bag,C049 ,P912 
1761,11/27/2015,25,12028.23,0.01,-547.61,449.99,49,Corporate,0.38,11/29/2015,Fast,Truck,127,Bangkok,Bangkok,IT,Printer,BigPack,C127 ,P324 
1792,10/13/2015,28,370.48,0.04,-5.45,13.48,4.51,Consumer,0.59,10/18/2015,Slow,Train,131,Bangkok,Bangkok,Office,PowerSupply,SmallBox,C131 ,P1048 
2275,9/25/2017,49,278,0.08,41.67,6.08,1.17,Small Business,0.56,9/26/2017,NotSpecified,Train,310,Bangkok,Bangkok,Office,Supplies,Bag,C310 ,P340 
2277,12/6/2015,10,66.54,0.01,-46.03,5.98,4.38,Home Office,0.75,12/7/2015,NotSpecified,Train,236,Bangkok,Bangkok,IT,Computer Accessories,SmallPack,C236 ,P667 
2277,12/6/2015,21,845.32,0.06,33.67,40.99,19.99,Home Office,0.36,12/8/2015,NotSpecified,Train,236,Bangkok,Bangkok,Office,Paper,SmallBox,C236 ,P1103 
2532,9/13/2016,39,282.07,0.03,140.01,7.31,0.49,Corporate,0.38,9/14/2016,Fast,Train,11,Bangkok,Bangkok,Office,Poster,SmallBox,C011 ,P937 
2532,9/13/2016,24,426.037,0.01,-78.96,20.99,2.5,Corporate,0.81,9/14/2016,Fast,Train,11,Bangkok,Bangkok,IT,Communication,Bag,C011 ,P097 
2631,8/28/2015,27,1078.49,0.08,252.66,40.96,1.99,Corporate,0.55,8/30/2015,Slow,Train,344,Bangkok,Bangkok,IT,Computer Accessories,SmallPack,C344 ,P510 
2757,6/22/2016,39,3554.46,0.07,-1766.01,95.95,74.35,Corporate,0.57,6/22/2016,SuperFast,Truck,408,Bangkok,Bangkok,Home,Chair,BigPack,C408 ,P268 
2791,9/13/2014,47,191.67,0,-236.27,3.89,7.01,Corporate,0.37,9/13/2014,Fast,Train,275,Bangkok,Bangkok,Office,Binder,SmallBox,C275 ,P205 
2791,9/13/2014,49,5586.33,0.09,80.44,120.98,30,Corporate,0.64,9/15/2014,Fast,Truck,275,Bangkok,Bangkok,Home,Chair,BigPack,C275 ,P616 
2791,9/13/2014,18,507.64,0.1,118.94,30.98,5.76,Corporate,0.4,9/14/2014,Fast,Train,275,Bangkok,Bangkok,Office,Paper,SmallBox,C275 ,P652 
2976,11/13/2015,30,14223.82,0.09,3424.22,500.98,26,Consumer,0.6,11/15/2015,NotSpecified,Truck,252,Bangkok,Bangkok,Home,Chair,BigPack,C252 ,P566 
3232,9/12/2017,5,42.66,0.06,-11.83,7.84,4.71,Small Business,0.35,9/14/2017,SuperFast,Train,98,Bangkok,Bangkok,Office,Binder,SmallBox,C098 ,P1249 
3524,4/6/2017,21,427.32,0,52.35,18.97,9.03,Small Business,0.37,4/7/2017,Fast,Train,576,Bangkok,Bangkok,Office,Paper,SmallBox,C576 ,P347 
3908,2/10/2015,8,820.284,0,-180.2,115.99,2.5,Corporate,0.57,2/10/2015,Medium,Train,240,Bangkok,Bangkok,IT,Communication,SmallBox,C240 ,P054 
4132,5/1/2016,5,14.76,0.01,1.32,2.88,0.5,Corporate,0.36,5/3/2016,NotSpecified,Train,1,Bangkok,Bangkok,Office,Poster,SmallBox,C001 ,P183 
4612,8/24/2015,9,89.55,0.06,-375.64,4.48,49,Corporate,0.6,8/26/2015,Medium,Train,381,Bangkok,Bangkok,Office,Equipment,Box,C381 ,P633 
4676,8/4/2016,11,1210.0515,0.04,-104.25,125.99,7.69,Home Office,0.58,8/5/2016,Fast,Train,49,Bangkok,Bangkok,IT,Communication,SmallBox,C049 ,P1061 
4676,8/4/2016,50,187.83,0.03,85.96,3.75,0.5,Home Office,0.37,8/6/2016,Fast,Train,49,Bangkok,Bangkok,Office,Poster,SmallBox,C049 ,P198 
4676,8/4/2016,3,49.59,0.07,-8.38,12.28,6.47,Home Office,0.38,8/6/2016,Fast,Air,49,Bangkok,Bangkok,Office,Paper,SmallBox,C049 ,P1130 
4676,8/4/2016,30,4253.009,0.01,1115.69,155.99,8.99,Home Office,0.58,8/5/2016,Fast,Train,49,Bangkok,Bangkok,IT,Communication,SmallBox,C049 ,P703 
5284,6/11/2016,7,59.38,0.1,-3.05,8.69,2.99,Home Office,0.39,6/13/2016,NotSpecified,Train,49,Bangkok,Bangkok,Office,Binder,SmallBox,C049 ,P329 
5316,1/4/2014,42,1285.37,0.1,514.07,31.78,1.99,Corporate,0.42,1/6/2014,SuperFast,Train,173,Bangkok,Bangkok,IT,Computer Accessories,SmallPack,C173 ,P751 
5409,12/12/2016,11,48.91,0.01,-7.04,3.98,2.97,Corporate,0.35,12/17/2016,Slow,Train,235,Bangkok,Bangkok,Office,Paper,Bag,C235 ,P1081 
5506,10/12/2015,22,129.62,0.05,4.41,5.88,3.04,Corporate,0.36,10/13/2015,SuperFast,Train,88,Bangkok,Bangkok,Office,Paper,Bag,C088 ,P139 
5569,4/3/2015,12,118.97,0.09,-0.06,9.65,6.22,Corporate,0.55,4/5/2015,NotSpecified,Train,289,Bangkok,Bangkok,Home,Furniture,SmallBox,C289 ,P416 
5607,12/4/2016,8,61.8715,0,-50.33,7.99,5.03,Home Office,0.6,12/7/2016,NotSpecified,Train,538,Bangkok,Bangkok,IT,Communication,MediumPack,C538 ,P259 
5894,7/17/2014,7,384.33,0.1,87.68,58.1,1.49,Corporate,0.38,7/18/2014,Fast,Train,41,Bangkok,Bangkok,Office,Binder,SmallBox,C041 ,P204 
5894,7/17/2014,3,239.03,0.01,-68.22,80.48,4.5,Corporate,0.55,7/20/2014,Fast,Train,41,Bangkok,Bangkok,Office,Equipment,SmallBox,C041 ,P074 
5925,10/16/2016,44,3922.42,0.08,-354.9,92.23,39.61,Home Office,0.67,10/23/2016,Slow,Train,403,Bangkok,Bangkok,Home,Furniture,MediumPack,C403 ,P385 
5925,10/16/2016,25,1733.3625,0.07,-267.01,85.99,0.99,Home Office,0.85,10/23/2016,Slow,Train,403,Bangkok,Bangkok,IT,Communication,Bag,C403 ,P099 
6016,12/24/2016,19,208.28,0.07,3.63,11.48,5.43,Home Office,0.36,12/24/2016,Fast,Train,706,Bangkok,Bangkok,Office,Paper,SmallBox,C706 ,P852 
6116,2/22/2014,6,9620.82,0.04,-1759.58,1637.53,24.49,Corporate,0.81,2/24/2014,Medium,Train,72,Bangkok,Bangkok,Office,Pens,MediumPack,C072 ,P593 
6182,6/25/2017,40,255.48,0.04,-116.79,6.48,6.65,Corporate,0.36,7/2/2017,Slow,Train,310,Bangkok,Bangkok,Office,Paper,SmallBox,C310 ,P1194 
6182,6/25/2017,18,130.32,0.04,-67.28,6.48,7.86,Corporate,0.37,6/29/2017,Slow,Air,310,Bangkok,Bangkok,Office,Paper,SmallBox,C310 ,P1233 
6535,5/17/2017,11,312.36,0.07,-19.33,28.15,8.99,Corporate,0.57,5/20/2017,SuperFast,Air,8,Bangkok,Bangkok,Office,Supplies,SmallPack,C008 ,P288 
6884,12/20/2013,41,217,0.01,-61.21,4.98,4.75,Home Office,0.36,12/25/2013,Slow,Train,706,Bangkok,Bangkok,Office,Paper,SmallBox,C706 ,P575 
6884,12/20/2013,47,296.13,0.04,119.09,6.35,1.02,Home Office,0.39,12/25/2013,Slow,Train,706,Bangkok,Bangkok,Office,Paper,Bag,C706 ,P1039 
6916,5/9/2015,40,436.17,0.08,-141.27,10.9,7.46,Consumer,0.59,5/13/2015,Slow,Air,33,Bangkok,Bangkok,Office,PowerSupply,SmallBox,C033 ,P351 
